is_plan,type,id,partof_id,partof_display,name,phone,url,address,city,state,zip,c_address,c_city,c_state,c_zip,description,plan_name,plan_alias,plan_id,plan_type,plan_manager,plan_manager_id,network_id,network_name,network_alias,coverage
FALSE,prov,9990010000,,,King Hospital System,6075555555,,50 Park Plaza,Boston,MA,2101,,,,,,,,,,,,,,,
FALSE,prov,9990020000,,,Acme Healthcare,9595555555,,263 Farmington Avenue,Farmington,CT,6030,,,,,,,,,,,,,,,
FALSE,prov,9990030000,,,Blue Hope,4015555555,,45 Willard Ave,Providence,RI,2901,,,,,,,,,,,,,,,
FALSE,prov,9990040000,,,Western Massachusetts HIE,6075555555,,4 Yawkey Way,Boston,MA,2215,,,,,,,,,,,,,,,
FALSE,prov,9990050000,,,Hartford Connecticut HIE,9595555555,,221 Trumbull Street,Hartford,CT,6101,,,,,,,,,,,,,,,
FALSE,prov,9990060000,,,Rhode Island HIE,4015555555,,"0 Holden Street, Suite 300",Providence,RI,2901,,,,,,,,,,,,,,,
TRUE,pay,9990070000,,,Group Insurance Commission,6177272310,https://www.mass.gov/orgs/group-insurance-commission,19 Stanford St,Boston,MA,2215,P.O. Box 8747,Boston,MA,2214,"The Group Insurance Commission (GIC) provides high-quality, affordable health insurance and other benefit options to over 220,000 subscribers and 425,000 members.",GIC Silver Plus Plan,GIC PPO,HPID200000,silver,Persona of Massachusetts,9990140000,HPID100000,State of Massachusetts Preferred Provider Network,MA GIC PPO,Massachusetts
TRUE,pay,9990080000,,,Connecticut Office of the State Comptroller,8607023300,https://www.osc.ct.gov,55 Elm Street ,Hartford,CT,6106,,,,,,Connecticut Bronze PPO Plan,CT HMO,HPID210000,bronzeexp,Green Circle of Connecticut,9990160000,HPID110000,State of Connecticut HMO,CT HMO,Connecticut
TRUE,pay,9990090000,,,Office of Employee Benefits,4015748530,http://www.employeebenefits.ri.gov/,"One Capitol Hill, 3rd Floor",Providence,RI,2908,,,,,,Rhode Island Silver Plan,RI PPO,HPID220000,silver,Acme Insurance Co of Rhode Island,9990180000,HPID120000,State of Rhode Island Preferred Provider Network,RI PPO,Rhode Island
TRUE,pay,9990110000,,,United Technologies Health Insurance,8607287000, http://www.pw.utc.com/Human-Resources,10 Farm Springs Rd.,Farmington,CT,6032,,,,,,UTC Silver Plus Plan,UTC PPO,HPID230000,silver,Persona of Connecticut,9990170000,HPID130000,United Technologies Preferred Provider Network,UT PPO,Greater Hartford Area
TRUE,ins,9990120000,9990210000,Acme Insurance Co,Acme Insurance Co of Massachusetts,6075555555,,120 St James Ave,Boston,MA,2101,,,,,,Acme Insurance Co of MassachusettsBronze PPO Plan,Acme MA BRONZE PPO,HPID240000,bronze,Acme Insurance Co of Massachusetts,9990120000,HPID010000,Acme of Massechusetts Preferred Provider Network,Acme MA PPO,Greater Boston Area
TRUE,ins,9990130000,9990220000,Green Circle Ins,Green Circle of Massachusetts,6075555555,,800 Washington St,Boston,MA,2101,,,,,,Green Circle of MassachusettsBronze HMO Plan,GC MA BRONZE HMO,HPID250000,bronze,Green Circle of Massachusetts,9990130000,HPID020000,Green Circle of Massachusetts HMO,GC MA  HMO,Massachusetts
TRUE,ins,9990140000,9990230000,Persona,Persona of Massachusetts,6075555555,,120 Royall St,Boston,MA,2101,,,,,,Persona of MassachusettsBronze PPO Plan,Persona MA BRONZE PPO,HPID260000,bronze,Persona of Massachusetts,9990140000,HPID030000,Massachusetts Persona Preferred Provider Network,MA Persona PPO,Massachusetts
TRUE,ins,9990150000,9990210000,Acme Insurance Co,Acme Insurance Co of Connecticut,9595555555,,690 Asylum Avenue,Hartford,CT,6101,,,,,,Acme Insurance Co of ConnecticutBronze PPO Plan,Acme CT BRONZE PPO,HPID270000,bronze,Acme Insurance Co of Connecticut,9990150000,HPID040000,Acme of Connecticut Preferred Provider Network,Acme CT PPO,Greater Hartford Area
TRUE,ins,9990160000,9990220000,Green Circle Ins,Green Circle of Connecticut,9595555555,,185 Asylum Street,Hartford,CT,6101,,,,,,Green Circle of ConnecticutBronze HMO Plan,GC CT BRONZE HMO,HPID280000,bronze,Green Circle of Connecticut,9990160000,HPID050000,Green Circle of Connecticut HMO,GC CT HMO,Connecticut
TRUE,ins,9990170000,9990230000,Persona,Persona of Connecticut,9595555555,,27 Grove Street,Hartford,CT,6101,,,,,,Persona of ConnecticutBronze PPO Plan,Persona CT BRONZE PPO,HPID290000,bronze,Persona of Connecticut,9990170000,HPID060000,Connecticut Persona Preferred Provider Network,CT Persona PPO,Connecticut
